Name,Location,Graduation Rate,Link,Enrollment
Western International University,"Phoenix, AZ",2.8%,https://www.collegesimply.com/colleges/arizona/western-international-university/,905
Yeshivas Novominsk,"Brooklyn, NY",2.5%,https://www.collegesimply.com/colleges/new-york/yeshivas-novominsk/,149
Yeshiva Toras Chaim,"Lakewood, NJ",2.5%,https://www.collegesimply.com/colleges/new-jersey/yeshiva-toras-chaim/,213
Keweenaw Bay Ojibwa Community College,"Baraga, MI",2.9%,https://www.collegesimply.com/colleges/michigan/keweenaw-bay-ojibwa-community-college/,151
Herzing University Toledo,"Toledo, OH",3.3%,https://www.collegesimply.com/colleges/ohio/herzing-university-toledo/,90
Rio Salado College,"Tempe, AZ",4.3%,https://www.collegesimply.com/colleges/arizona/rio-salado-college/,"17,078"
Southwest Tennessee Community College,"Memphis, TN",4.8%,https://www.collegesimply.com/colleges/tennessee/southwest-tennessee-community-college/,"6,443"
Bryan University,"Los Angeles, CA",5.7%,https://www.collegesimply.com/colleges/california/bryan-university/,"1,767"
East Georgia College,"Swainsboro, GA",5.6%,https://www.collegesimply.com/colleges/georgia/east-georgia-college/,"1,873"
Boston Architectural College,"Boston, MA",5.1%,https://www.collegesimply.com/colleges/massachusetts/boston-architectural-college/,747
Henry Ford Community College,"Dearborn, MI",5.7%,https://www.collegesimply.com/colleges/michigan/henry-ford-community-college/,"11,204"
Nebraska Indian Community College,"Macy, NE",5.8%,https://www.collegesimply.com/colleges/nebraska/nebraska-indian-community-college/,474
Robeson Community College,"Lumberton, NC",5.3%,https://www.collegesimply.com/colleges/north-carolina/robeson-community-college/,"1,901"
University of Akron Wayne College,"Orrville, OH",5.6%,https://www.collegesimply.com/colleges/ohio/university-of-akron-wayne-college/,"1,416"
Oklahoma State University Oklahoma City,"Oklahoma City, OK",5.7%,https://www.collegesimply.com/colleges/oklahoma/oklahoma-state-university-oklahoma-city/,"4,340"
Blinn College,"Brenham, TX",5.8%,https://www.collegesimply.com/colleges/texas/blinn-college/,"17,909"
Dallas College,"Dallas, TX",5%,https://www.collegesimply.com/colleges/texas/el-centro-college/,"64,156"
Ecclesia College,"Springdale, AR",5.9%,https://www.collegesimply.com/colleges/arkansas/ecclesia-college/,157
Mesivta Keser Torah,"Belmar, NJ",5.4%,https://www.collegesimply.com/colleges/new-jersey/mesivta-keser-torah/,54
Jefferson State Community College,"Birmingham, AL",6.1%,https://www.collegesimply.com/colleges/alabama/jefferson-state-community-college/,"8,431"
Northland Pioneer College,"Holbrook, AZ",6.3%,https://www.collegesimply.com/colleges/arizona/northland-pioneer-college/,"2,740"
Baltimore City Community College,"Baltimore, MD",6.3%,https://www.collegesimply.com/colleges/maryland/baltimore-city-community-college/,"3,538"
Cambridge College,"Cambridge, MA",6%,https://www.collegesimply.com/colleges/massachusetts/cambridge-college/,"2,135"
Torah Temimah Talmudical Seminary,"Brooklyn, NY",7%,https://www.collegesimply.com/colleges/new-york/torah-temimah-talmudical-seminary/,67
Bryant & Stratton College Cleveland,"Cleveland, OH",6.9%,https://www.collegesimply.com/colleges/ohio/bryant-and-stratton-college-cleveland/,202
Stark State College,"North Canton, OH",6.8%,https://www.collegesimply.com/colleges/ohio/stark-state-college/,"10,031"
Mountain View College,"Dallas, TX",6.3%,https://www.collegesimply.com/colleges/texas/mountain-view-college/,"11,619"
Paul Quinn College,"Dallas, TX",6.4%,https://www.collegesimply.com/colleges/texas/paul-quinn-college/,938
University of Phoenix Indianapolis Campus,"Indianapolis, IN",6.3%,https://www.collegesimply.com/colleges/indiana/university-of-phoenix-indianapolis-campus/,19
University of Maryland University College,"Adelphi, MD",8%,https://www.collegesimply.com/colleges/maryland/university-of-maryland-university-college/,"55,838"
Prince George's Community College,"Largo, MD",7.4%,https://www.collegesimply.com/colleges/maryland/prince-georges-community-college/,"10,244"
Harris Stowe State University,"Saint Louis, MO",7.6%,https://www.collegesimply.com/colleges/missouri/harris-stowe-state-university/,"1,084"
University of New Mexico Gallup Campus,"Gallup, NM",7.5%,https://www.collegesimply.com/colleges/new-mexico/university-of-new-mexico-gallup-campus/,"2,113"
New Mexico State University Carlsbad,"Carlsbad, NM",7.7%,https://www.collegesimply.com/colleges/new-mexico/new-mexico-state-university-carlsbad/,"1,673"
Yeshivat Mikdash Melech,"Brooklyn, NY",7.1%,https://www.collegesimply.com/colleges/new-york/yeshivat-mikdash-melech/,37
Martin Community College,"Williamston, NC",7.4%,https://www.collegesimply.com/colleges/north-carolina/martin-community-college/,842
